Ananda Tandavam,
Naalai Namadhe,
Karthik Anitha,
Naal Natchathiram,
Enga Raasi Nalla Raasi,
Brahmadeva,
Rajadhi Raja,
Kulir 100°,
Manjal Veiyil,
Ragavan,
Maasilamani,
Muthirai,
Oliyum Oliyum,
Vaalmiki,
Gnabagangal,
Nee Unnai Arindhaal,
Thottu Sellum Thendrale,
Unnai Kann Theduthe,
Indira Vizha,
Pudhiya Payanam,
Thalai Ezhuthu,
Vaigai,
Kadhal Kadhai,
Vedigundu Murugesan,
Engal Aasan,
Malayan,
Puthiya Paravai,
Malai Malai,
Saamy Sonna Saridhan,
Sindhanai Sei,
Azhagar Malai,
Eesa,
Nesi,
Ore Manasu,
Vannathupoochi,
Shivagiri,
Madurai To Theni,
Solla Solla Inikkum,
Suriyan Satta Kalloori,
Iru Vizhigal,
Moonar,
Vedappan,
Jaganmohini,
Peranmai,
Kanna Nee Enakku Thaanada,
Karagam,
Palaivana Solai,
Saa Boo Thiri,
Thambivudayaan,
Vaidehi,
Swetha 5/10 Wellington Road,
Thamizhagam,
Vizhiyil Malarnthathu,
Naan Avanillai 2,
Edhuvum Nadakkum,
Meendum Meendum Nee,
Pinju Manasu,
Vettattam,
Pachiyapuram,
Thozhi,
Vettaikkaran,
Balam,
Enakkul Oru Kadhal,
Naai Kutty,
