Pagadai Pagadai,
Ra,
Innuma Nammala Namburanga,
Lingaa,
Yaaro Oruvan,
Nadodi Paravai,
Natpin Nooram Naal,
Pisasu,
Sutrula,
Endrume Anandham,
Kappal,
Kayal,
Meaghamann,
Vellaikaara Durai,
Pesadha Padam,
Thiru Vi Ka Poonga,2015
Virudhalaam Pattu,
Vishayam Veliye Theriya Koodadhu,
Kizhakke Udhiththa Kaadhal,
Vettaiyadu,
I,
Aambala,
Darling,
Appavi Kateri,
Aroopam,
Thottal Thodarum,
Dharani,
Isai,
Killadi,
Pulan Visaranai 2,
Touring Talkies,
Yennai Arindhaal,
Ponge Ezhu Manohara,
Anegan,
Mandodhari,
Manitha Kadhal Alla,
K3,
Sandamarutham,
Tamiluku En Ondrai Aluthavum,
Ettuthikkum Madhayaanai,
Kaaki Sattai,
Manal Nagaram,
Vajram,
Bench Talkies - The First Bench,
En Vazhi Thani Vazhi,
Enakkul Oruvan,
JK Enum Nanbanin Vaazhkai,
(Direct-to-video),
Maha Maha,
Rombha Nallavan Da Nee,
Serndhu Polama,
Thoppi,
Aivarattam,
Ivanuku Thannila Gandam,
Katham Katham,
Mahabalipuram,
Rajathandhiram,
Sonna Pocchu,
Thavarana Pathai,
Vaanavil Vaazhkai,
Aaya Vada Sutta Kadhai,
Agathinai,
Iravum Pagalum Varum,
Kadavul Paathi Mirugam Paathi,
Kallappadam,
Kaala Kattam,
Mooch,
Patra,
Thilagar,
Vethu Vaettu,
Charles Shafiq Karthiga,
Manadhil Oru Maatram,
Nadhigal Nanaivadhillai,
Sarithram Pesu,
Valiyavan,
Komban,
Nannbenda,
Sagaptham,
Chennai Ungalai Anbudan Varaverkirathu,
Thunai Mudhalvar,
Kanchana 2,
O Kadhal Kanmani,
Iridiyam,
Kangaroo,
Neethane En Kovil,
Yoogan,
Vai Raja Vai,
Uttama Villain,
India Pakistan,
Kadhal Ilavasam,
MGR Sivaji Rajini Kamal,
36 Vayadhinile,
Purampokku Engira Podhuvudamai,
Demonte Colony,
Kamara Kattu,
Nanbargal Narpani Mandram,
Siruvani,
Thiranthidu Seese,
Vindhai,
Iruvar Ondranal,
Masss,
Soan Papdi,
Buddhanin Sirippu,
Dhegam Sudukuthu,
Kaaka Muttai,
Kathamma,
Puriyadha Anandam Puthithaga Arambam,
Inimey Ippadithan,
Romeo Juliet,
Achaaram,
Eli,
Iru Kadhal Oru Kadhai,
Iyakkunar,
Indru Netru Naalai,
Kaaval,
Lodukku Pandi,
Moone Moonu Varthai,
Yagavarayinum Naa Kaakka,
Baby,
Oru Thozhan Oru Thozhi,
Palakkattu Madhavan,
Papanasam,
Paranjothi,
Baahubali: The Beginning,
Kamaraj,
Ore Oru Raja Mokkaraja,
Maharani Kottai,
Miss Pannidatheenga Appuram Varuthapaduveenga,
Maari,
Naalu Policeum Nalla Irundha Oorum,
Aavi Kumar,
Guru Sukran,
Idhu Enna Maayam,
Orange Mittai,
Sakalakala Vallavan,
Azhage Illatha Azhagana Kathai,
Chandi Veeran,
Kalai Vendhan,
Kurangu Kaila Poomalai,
Vandha Mala,
Akila Muthalam Vaguppu,
Nirayudham,
Vaalu,
Vasuvum Saravananum Onna Padichavanga,
Aluchatiyam,
Jigina,
Adhibar,
Thakka Thakka,
Thani Oruvan,
Bhanu,
Paayum Puli,
Pokkiri Mannan,
Savaale Samaali,
9 Thirudargal,
Maanga,
Naanaage Naanillai,
Strawberry,
Yatchan,
49-O,
Maya,
Trisha Illana Nayanthara,
Jippaa Jimikki,
Kadhal Agathee,
Kirumi,
Kuttram Kadithal,
Thiruttu VCD,
Unakenna Venum Sollu,
Puli,
Dummy Tappasu,
Andhadhi,
Kaththukkutti,
Masala Padam,
Sathuran,
Athiradi,
Maiem,
Marappaachi,
Sillunu Oru Payanam,
Sivappu,
Thiraipada Nagaram,
10 Enradhukulla,
Naanum Rowdydhaan,
Kubera Rasi,
Apoorva Mahaan,
Adhyan,
